EmployeeID,Age,Department,JobRole,MonthlyIncome,YearsAtCompany,Attrition
217,38,Operations,Operations Manager,52180,8,No
218,43,Finance,Analyst,91396,10,No
219,55,Operations,Operations Executive,76828,8,No
220,38,HR,HR Manager,65737,4,No
221,23,HR,Recruiter,68709,10,Yes
222,47,Marketing,Marketing Manager,83276,4,No
223,55,IT,Developer,83302,14,No
224,54,Operations,Operations Executive,89129,3,No
225,38,IT,IT Manager,54058,12,Yes
226,23,Sales,Sales Manager,31524,8,Yes
227,46,Sales,Sales Executive,30060,10,No
228,24,Sales,Sales Executive,58145,4,Yes
229,55,IT,Data Analyst,53051,2,No
230,38,IT,IT Manager,79481,8,No
231,37,Finance,Finance Manager,30338,7,No
232,37,Sales,Sales Executive,88053,7,No
233,36,Sales,Sales Manager,57935,9,No
234,47,Sales,Sales Executive,86276,5,No
235,28,Operations,Operations Executive,99768,2,No
236,44,HR,HR Manager,36737,14,No
237,38,IT,Data Analyst,119613,14,No
238,55,Finance,Finance Manager,112050,4,No
239,44,HR,HR Manager,108187,6,No
240,50,Sales,Sales Manager,45317,8,No
241,23,Sales,Sales Manager,104038,2,No
242,34,Operations,Operations Executive,57788,1,No
243,50,IT,IT Manager,59629,0,No
244,37,Marketing,Marketing Manager,115431,11,No
245,46,HR,Recruiter,54574,6,No
246,24,Sales,Sales Manager,63933,7,No
247,46,Finance,Finance Manager,87775,0,No
248,45,Sales,Sales Executive,104691,11,No
249,27,Marketing,Marketing Executive,30806,7,No
250,34,IT,Data Analyst,110097,8,No
251,29,Finance,Analyst,86979,12,No
252,31,Marketing,Marketing Executive,70042,1,No
253,24,Sales,Sales Executive,44199,5,No
254,44,Operations,Operations Executive,76600,2,No
255,39,Sales,Sales Executive,56685,0,Yes
256,34,IT,Data Analyst,37287,12,No
257,35,Sales,Sales Manager,113300,1,No
258,49,IT,IT Manager,95160,2,No
259,30,Finance,Finance Manager,76542,7,No
260,55,IT,IT Manager,55559,11,No
261,47,IT,Developer,71873,5,No
262,26,Marketing,Marketing Manager,116988,0,Yes
263,50,Marketing,Marketing Manager,114082,9,No
264,48,HR,Recruiter,116231,2,No
265,34,Finance,Analyst,63130,12,No
266,48,HR,Recruiter,32469,11,Yes
267,52,IT,Developer,77638,9,Yes
268,51,IT,Developer,72534,14,Yes
269,34,HR,Recruiter,63062,1,No
270,38,Operations,Operations Executive,61966,1,No
271,27,Marketing,Marketing Executive,106242,13,Yes
272,55,Sales,Sales Manager,91246,11,No
273,50,Operations,Operations Executive,112197,3,Yes
274,25,Finance,Finance Manager,80192,11,Yes
275,22,HR,Recruiter,50953,7,Yes
276,50,HR,Recruiter,51195,3,No
277,33,Finance,Analyst,117046,12,Yes
278,36,Operations,Operations Executive,57082,9,Yes
279,55,HR,Recruiter,44288,2,No
280,32,Marketing,Marketing Executive,53411,15,Yes
281,43,Operations,Operations Manager,107258,10,No
282,49,Operations,Operations Manager,63756,4,No
283,41,Marketing,Marketing Executive,78901,2,No
284,22,IT,IT Manager,42857,11,No
285,46,HR,HR Manager,112711,11,No
286,48,Finance,Finance Manager,51563,13,Yes
287,29,Marketing,Marketing Executive,104318,10,No
288,24,Finance,Analyst,91788,15,No
289,24,Finance,Finance Manager,45251,13,No
290,28,Operations,Operations Manager,41536,13,No
291,43,Finance,Analyst,35109,4,No
292,38,IT,Developer,56589,15,No
293,32,Operations,Operations Manager,51804,8,No
294,29,Operations,Operations Executive,79930,5,No
295,33,Sales,Sales Executive,82269,15,Yes
296,49,Operations,Operations Manager,78787,0,No
297,54,HR,Recruiter,79153,0,Yes
298,54,Marketing,Marketing Manager,118652,3,No
299,47,HR,Recruiter,80861,9,No
300,32,HR,Recruiter,87660,2,No
301,30,Sales,Sales Manager,56015,8,No
302,41,HR,Recruiter,43629,14,No
303,43,IT,Data Analyst,104137,14,No
304,35,Sales,Sales Manager,45313,5,No
305,46,Finance,Analyst,109148,2,Yes
306,29,Operations,Operations Manager,58380,6,No
307,27,IT,Data Analyst,46082,5,No
308,24,Sales,Sales Executive,90315,9,No
309,36,Marketing,Marketing Executive,60027,0,No
310,45,HR,HR Manager,104131,4,No
311,41,Finance,Finance Manager,69063,1,No
312,55,Sales,Sales Manager,52015,3,No
313,27,HR,Recruiter,75350,9,No
314,33,HR,Recruiter,78364,1,No
315,47,Sales,Sales Executive,49975,3,No
316,35,HR,Recruiter,118397,1,Yes
317,35,Marketing,Marketing Manager,100135,6,No
318,27,HR,HR Manager,91272,8,No
319,26,IT,Developer,43760,7,No
320,44,Finance,Analyst,82233,2,No
321,31,HR,HR Manager,106619,13,Yes
322,29,Marketing,Marketing Manager,109530,11,No
323,49,Operations,Operations Manager,115112,10,No
324,49,Marketing,Marketing Manager,113310,14,No
325,41,IT,Developer,50337,13,Yes
326,47,Marketing,Marketing Manager,57420,0,Yes
327,26,Operations,Operations Executive,59856,0,No
328,41,Finance,Finance Manager,65057,7,No
329,46,Operations,Operations Manager,119393,12,No
330,44,IT,Data Analyst,109141,3,Yes
331,37,Operations,Operations Executive,31969,9,No
332,22,HR,HR Manager,53196,15,No
333,55,Operations,Operations Executive,78320,6,No
334,51,IT,Data Analyst,85409,1,No
335,48,Sales,Sales Manager,72823,8,No
336,40,Sales,Sales Executive,109134,15,No
337,47,Marketing,Marketing Executive,38125,11,Yes
338,30,Operations,Operations Executive,90576,8,No
339,34,Marketing,Marketing Executive,115150,8,Yes
340,25,HR,HR Manager,34114,5,No
341,44,Marketing,Marketing Executive,55426,12,No
342,28,Operations,Operations Manager,81924,14,No
343,36,HR,HR Manager,39108,2,No
344,53,Sales,Sales Executive,52443,5,Yes
345,35,IT,Data Analyst,90233,1,No
346,47,IT,Developer,36471,15,No
347,50,Finance,Analyst,31177,8,No
348,36,HR,Recruiter,41563,3,No
349,42,Operations,Operations Manager,63174,10,Yes
350,36,Marketing,Marketing Manager,86088,3,No
351,34,Finance,Analyst,67650,1,Yes
352,48,Finance,Finance Manager,72652,14,No
353,51,HR,Recruiter,42289,0,No
354,51,HR,HR Manager,74139,9,No
355,41,Sales,Sales Manager,42149,6,No
356,34,Finance,Finance Manager,110758,5,No
357,30,Operations,Operations Manager,82249,8,No
358,29,HR,HR Manager,101831,15,No
359,25,IT,Developer,85826,3,No
360,39,HR,HR Manager,111571,9,No
361,55,HR,HR Manager,47014,4,Yes
362,49,Marketing,Marketing Executive,70390,15,No
363,34,Sales,Sales Manager,87784,13,Yes
364,42,IT,IT Manager,62117,12,No
365,45,Sales,Sales Executive,59371,13,Yes
366,53,HR,Recruiter,69532,13,No
367,24,Marketing,Marketing Executive,46456,7,No
368,25,Operations,Operations Executive,102240,11,Yes
369,48,Marketing,Marketing Manager,34255,4,No
370,24,HR,HR Manager,104069,5,Yes
371,38,Finance,Finance Manager,39686,13,No
372,26,Operations,Operations Manager,72828,12,No
373,37,Sales,Sales Executive,118733,8,No
374,37,Finance,Analyst,50103,3,No
375,44,Operations,Operations Executive,85922,7,Yes
376,22,Finance,Finance Manager,112205,4,Yes
377,29,Operations,Operations Manager,34895,0,No
378,55,Finance,Finance Manager,46163,0,No
379,42,Marketing,Marketing Manager,65585,10,No
380,24,Sales,Sales Executive,68067,13,No
381,27,Finance,Finance Manager,113362,5,No
382,33,Operations,Operations Manager,42329,5,No
383,45,IT,Data Analyst,75033,13,No
384,35,IT,IT Manager,103800,14,No
385,23,HR,HR Manager,82130,1,No
386,31,HR,Recruiter,35656,1,Yes
387,52,Operations,Operations Executive,35901,0,No
388,24,Operations,Operations Manager,65298,8,No
389,55,Marketing,Marketing Executive,47347,8,No
390,33,Marketing,Marketing Manager,37967,15,No
391,35,Marketing,Marketing Executive,58179,1,No
392,50,Operations,Operations Manager,107866,13,No
393,26,IT,IT Manager,72913,9,Yes
394,52,Operations,Operations Executive,55032,6,No
395,30,IT,Developer,80331,13,No
396,25,Finance,Analyst,76851,6,No
397,50,Marketing,Marketing Executive,42411,5,No
398,28,Marketing,Marketing Manager,56715,5,No
399,43,Marketing,Marketing Executive,99252,13,No
400,42,Operations,Operations Executive,103294,4,No
401,26,HR,Recruiter,90428,4,No
402,39,Marketing,Marketing Executive,77076,12,Yes
403,32,Sales,Sales Executive,34798,4,No
404,25,Marketing,Marketing Manager,55121,3,No
405,50,HR,Recruiter,56035,12,No
406,34,Marketing,Marketing Manager,83352,15,No
407,22,Sales,Sales Executive,94641,11,Yes
408,42,Sales,Sales Manager,58602,5,No
409,44,Sales,Sales Manager,55431,12,Yes
410,44,Finance,Analyst,71991,12,Yes
411,45,IT,Developer,119570,7,Yes
412,52,Finance,Analyst,78355,10,No
413,49,IT,IT Manager,87906,10,No
414,53,Marketing,Marketing Manager,106295,15,No
415,52,Finance,Analyst,91063,15,No
416,36,Sales,Sales Manager,107360,3,No
417,46,Operations,Operations Executive,91558,13,No
418,33,HR,HR Manager,35978,7,Yes
419,53,Marketing,Marketing Executive,99519,15,No
420,31,HR,HR Manager,75838,0,No
421,35,Sales,Sales Executive,85419,9,No
422,51,Operations,Operations Manager,44291,4,No
423,42,IT,Data Analyst,107794,9,No
424,39,Sales,Sales Manager,58044,13,No
425,28,Operations,Operations Manager,44571,15,Yes
426,46,Operations,Operations Manager,73541,11,Yes
427,50,HR,Recruiter,85731,10,No
428,45,IT,IT Manager,59739,12,No
429,54,Marketing,Marketing Executive,38706,14,Yes
430,46,Marketing,Marketing Manager,86447,4,Yes
431,37,HR,Recruiter,95095,0,No
432,25,IT,Developer,92946,15,No
433,46,HR,HR Manager,33081,4,No
434,23,IT,IT Manager,61656,15,No
435,43,Finance,Finance Manager,49033,9,Yes
436,35,Sales,Sales Manager,43944,1,No
437,37,Finance,Analyst,119822,6,No
438,25,IT,Developer,39596,3,No
439,47,Operations,Operations Executive,97364,5,No
440,25,Marketing,Marketing Manager,91627,8,No
441,28,Sales,Sales Executive,98099,12,No
442,25,Marketing,Marketing Manager,66727,13,No
443,40,Operations,Operations Manager,93646,11,No
444,40,Sales,Sales Executive,108229,7,No
445,52,Operations,Operations Manager,40258,15,No
446,54,Operations,Operations Executive,63937,14,No
447,32,IT,IT Manager,46184,11,No
448,27,Sales,Sales Executive,64051,3,No
449,27,IT,IT Manager,60254,13,No
450,37,Sales,Sales Manager,38329,1,Yes
451,51,IT,Developer,36397,5,No
452,40,Sales,Sales Executive,113369,2,No
453,50,IT,Developer,37999,4,No
454,26,Marketing,Marketing Manager,56201,3,Yes
455,22,HR,HR Manager,32839,8,Yes
456,52,Sales,Sales Manager,97155,7,No
457,45,Marketing,Marketing Manager,104603,9,No
458,49,Finance,Analyst,103997,7,No
459,46,Operations,Operations Executive,62972,5,Yes
460,41,Marketing,Marketing Manager,70785,9,No
461,54,Marketing,Marketing Manager,60682,6,Yes
462,32,HR,Recruiter,96707,7,No
463,47,Marketing,Marketing Manager,32539,7,No
464,42,Sales,Sales Executive,58228,2,No
465,40,Marketing,Marketing Manager,87714,8,No
466,54,Finance,Analyst,37345,4,No
467,28,HR,HR Manager,63365,6,No
468,55,Marketing,Marketing Executive,101707,9,No
469,38,Operations,Operations Executive,97169,5,No
470,31,HR,HR Manager,43140,4,No
471,31,Sales,Sales Manager,95633,15,No
472,43,Marketing,Marketing Executive,104071,14,No
473,31,Finance,Analyst,46994,15,No
474,53,Sales,Sales Manager,93878,4,Yes
475,43,Finance,Finance Manager,35774,7,Yes
476,49,Operations,Operations Manager,30781,10,No
477,47,HR,Recruiter,59118,1,Yes
478,29,Operations,Operations Executive,53648,9,No
479,44,Operations,Operations Executive,118664,10,No
480,32,IT,Developer,32551,11,No
481,42,Finance,Finance Manager,37239,6,No
482,39,Operations,Operations Manager,36971,3,No
483,37,HR,HR Manager,36530,12,No
484,54,HR,HR Manager,115120,6,Yes
485,25,Marketing,Marketing Manager,69901,5,No
486,33,IT,Developer,93370,13,No
487,42,Sales,Sales Executive,86481,3,No
488,48,HR,HR Manager,38004,8,Yes
489,41,Finance,Analyst,54217,13,No
490,49,IT,Developer,79416,3,No
491,32,Operations,Operations Executive,117489,14,No
492,45,Sales,Sales Executive,76305,5,No
493,47,Finance,Finance Manager,99615,4,Yes
494,54,HR,Recruiter,55556,2,Yes
495,39,Sales,Sales Executive,100969,10,No
496,26,Operations,Operations Executive,85915,10,No
497,54,IT,IT Manager,88067,12,No
498,49,HR,HR Manager,97494,5,No
499,29,Finance,Analyst,66598,6,Yes
500,46,IT,Data Analyst,93278,5,No
501,35,Marketing,Marketing Executive,85267,11,No
502,34,Sales,Sales Executive,86526,1,No
503,48,Operations,Operations Executive,97990,10,Yes
504,35,Operations,Operations Manager,32659,4,No
505,51,IT,IT Manager,101678,13,No
506,45,Sales,Sales Executive,91709,9,No
507,40,Operations,Operations Manager,45282,2,No
508,41,Sales,Sales Manager,105948,6,No
509,40,Sales,Sales Executive,82142,3,Yes
510,38,Operations,Operations Executive,79437,8,Yes
511,35,Finance,Analyst,41240,10,No
512,25,Sales,Sales Manager,80139,7,No
513,43,Marketing,Marketing Manager,93095,14,No
514,51,Marketing,Marketing Manager,89659,2,No
515,42,Operations,Operations Manager,79812,4,No
516,54,Marketing,Marketing Executive,102692,12,No
517,38,Sales,Sales Manager,116497,7,No
518,33,Marketing,Marketing Executive,36581,11,No
519,47,Sales,Sales Executive,118668,5,No
520,41,IT,Data Analyst,91944,12,No
521,25,Finance,Finance Manager,117445,11,No
522,23,Operations,Operations Manager,47569,10,No
523,44,Sales,Sales Manager,115925,5,No
524,33,HR,HR Manager,58933,9,No
525,22,IT,Data Analyst,105868,12,No
526,41,Operations,Operations Executive,101344,12,No
527,29,Sales,Sales Manager,67418,3,Yes
528,42,HR,HR Manager,33828,0,Yes
529,30,HR,HR Manager,35463,4,No
530,42,Sales,Sales Manager,65634,10,No
531,34,Sales,Sales Executive,52207,10,Yes
532,22,IT,Developer,74199,11,No
533,33,Marketing,Marketing Executive,102124,15,No
534,49,HR,HR Manager,33321,4,Yes
535,44,IT,Data Analyst,82893,12,No
536,41,Sales,Sales Executive,53377,1,Yes
537,39,Operations,Operations Executive,64542,11,No
538,33,Sales,Sales Executive,74409,2,No
539,50,HR,HR Manager,116120,9,No
540,31,IT,Developer,104637,1,Yes
541,49,Sales,Sales Executive,47154,3,No
542,50,Marketing,Marketing Manager,60373,2,No
543,33,HR,HR Manager,32282,0,Yes
544,42,HR,HR Manager,67437,0,Yes
545,45,Sales,Sales Executive,68392,5,No
546,39,Operations,Operations Executive,66268,6,No
547,51,Operations,Operations Manager,66027,11,No
548,49,IT,IT Manager,82395,14,No
549,54,IT,Data Analyst,75734,1,Yes
550,25,Marketing,Marketing Executive,69332,7,No
551,50,Finance,Analyst,70379,1,No
552,52,IT,IT Manager,41738,13,No
553,26,Sales,Sales Manager,109239,1,No
554,22,Finance,Finance Manager,47438,3,Yes
555,51,HR,HR Manager,72359,7,No
556,25,IT,Developer,37597,5,No
557,27,IT,Data Analyst,109674,12,No
558,44,Operations,Operations Manager,53173,3,No
559,50,Sales,Sales Executive,91516,10,No
560,53,Finance,Analyst,72261,3,No
561,34,Sales,Sales Executive,106449,12,No
562,24,IT,IT Manager,39569,15,No
563,42,HR,HR Manager,73949,14,No
564,25,Finance,Analyst,105250,0,No
565,34,Marketing,Marketing Executive,88478,1,No
566,38,IT,Developer,115090,11,No
567,45,Operations,Operations Executive,114754,4,No
568,38,Finance,Analyst,65428,3,No
569,55,IT,Developer,54842,5,No
570,42,Finance,Finance Manager,74789,10,No
571,41,Marketing,Marketing Executive,97496,13,Yes
572,40,Operations,Operations Executive,90011,11,No
573,32,Operations,Operations Executive,58064,13,No
574,38,IT,IT Manager,60386,4,No
575,25,HR,Recruiter,71862,12,No
576,38,Sales,Sales Manager,32384,0,No
577,24,IT,IT Manager,98026,4,No
578,52,Operations,Operations Executive,81919,1,No
579,24,Marketing,Marketing Manager,49337,9,No
580,33,Marketing,Marketing Manager,41944,7,No
581,51,Operations,Operations Executive,86622,2,No
582,28,HR,HR Manager,40886,2,No
583,22,Sales,Sales Executive,116156,7,No
584,30,Finance,Finance Manager,41390,0,No
585,44,HR,HR Manager,107064,1,Yes
586,52,Finance,Finance Manager,31381,10,No
587,34,IT,Data Analyst,40207,1,Yes
588,37,IT,IT Manager,100721,7,Yes
589,37,HR,Recruiter,111253,11,Yes
590,52,HR,HR Manager,98487,6,No
591,48,Operations,Operations Executive,53782,4,No
592,51,Sales,Sales Executive,63204,12,No
593,46,Marketing,Marketing Executive,60750,0,No
594,31,Operations,Operations Manager,119571,7,No
595,35,Finance,Finance Manager,61921,11,No
596,36,Marketing,Marketing Manager,76101,13,No
597,44,Marketing,Marketing Executive,86071,1,No
598,39,Operations,Operations Manager,103463,1,No
599,36,Sales,Sales Manager,84238,0,No
600,53,HR,Recruiter,74757,5,No
601,27,HR,Recruiter,110811,8,Yes
602,22,Finance,Analyst,101274,2,No
603,25,HR,Recruiter,46209,14,No
604,27,IT,Developer,78695,11,No
605,44,Sales,Sales Manager,69129,12,No
606,31,IT,Developer,101854,6,No
607,54,IT,Developer,119963,10,No
608,30,Sales,Sales Manager,108356,3,No
609,38,Finance,Analyst,47508,5,No
610,39,Finance,Finance Manager,35355,8,Yes
611,39,Sales,Sales Executive,57364,12,No
612,30,HR,Recruiter,50808,5,No
613,44,Operations,Operations Executive,113692,1,No
614,24,Finance,Finance Manager,92491,5,No
615,22,Marketing,Marketing Manager,104083,4,No
616,31,IT,Developer,85860,11,Yes
617,34,HR,Recruiter,50132,5,No
618,35,Operations,Operations Executive,61881,2,No
619,33,Operations,Operations Executive,66021,3,Yes
620,47,IT,Developer,74864,3,No
621,49,Sales,Sales Manager,32745,11,Yes
622,51,Marketing,Marketing Manager,60116,5,No
623,54,Marketing,Marketing Executive,85350,9,No
624,33,Sales,Sales Manager,76607,15,No
625,28,Finance,Analyst,86547,14,No
626,44,IT,Developer,77832,7,No
627,25,Operations,Operations Executive,75671,2,No
628,55,Marketing,Marketing Manager,61131,12,No
629,25,Finance,Finance Manager,51607,8,No
630,32,Finance,Finance Manager,91215,11,No
631,47,Sales,Sales Executive,37659,6,Yes
632,31,HR,HR Manager,119388,2,Yes
633,25,Marketing,Marketing Manager,84254,14,No
634,45,IT,Developer,53989,11,No
635,47,Sales,Sales Manager,46241,4,No
636,54,Sales,Sales Executive,106721,5,No
637,42,Marketing,Marketing Manager,57076,5,No
